key,category,chapter,severity,issues,question_text,correct_answer,solution_steps
qa-0093,Arithmetical Ability,Number System,critical,repeated_operator_fragment; detached_digit_array; concatenated_formula_numbers,(46351 – 36418 – 4505) ÷? = 1357,C,Let =46351 – 36418 – 4505 1357. Then x += 46351 – (36418 4505) 1357x | (46351 – 40923) 5428 4.1357 1357x = == 4 6 3 5 1 – 4 0 9 2 3 5 4 2 8 3 6 4 1 8 + 4 5 0 5 4 0 9 2 3
qa-0094,Arithmetical Ability,Number System,critical,detached_digit_array,6 × 66 × 666 =?,C,6 × 66 × 666 = 6 × (6 × 11) × (6 × 111) = (6 × 6 × 6) × (11 × 111) = (216 × 1221) = (1221 × 216) = 1221 × (200 + 10 + 6) = (1221 × 200) + (1221 × 10) + (1221 × 6) = 244200 + 12210 + 7326 = 263736. 2 4 4 2 0 0 1 2 2 1 0 + 7 3 2 6 2 6 3 7 3 6
qa-0096,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,8 + 88 + 888 + 8888 + 88888 + 888888 =?,D,888888 88888 8888 888 88 + 8 987648
qa-0098,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers,60840 ÷ 234 =?,C,= ==60840 30420 3380 260.234 117 13
qa-0101,Arithmetical Ability,Number System,critical,detached_digit_array,123456 79 × 72 is equal to,B,12345679 × 72 = 12345679 × (70 + 2) = (12345679 × 70) + (12345679 × 2) = (864197530 + 24691358) = 888888888. 8 6 4 1 9 7 5 3 0 + 2 4 6 9 1 3 5 8 8 8 8 8 8 8 8 8 8
qa-0102,Arithmetical Ability,Number System,critical,concatenated_formula_numbers,8899 – 6644 – 3322 =? – 1122,A,8899 – 6644 – 3322 = x – 1122 | 2255 – 3322 + 1122 = x | x = 3377 – 3322 = 55.
qa-0103,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers; dense_number_sequence,74844 ÷? = 54 × 63,A,"Let 74844 ÷ x = 54 × 63. Then, =×74844 54 63x | x = = = ==×× 74844 8316 1386 198 2254 63 6 63 63 9 ."
qa-0104,Arithmetical Ability,Number System,critical,detached_digit_array,1256 × 3892 =?,C,1256 × 3892 = (1000 + 200 + 50 + 6) × 3892 = (1000 × 3892) + (200 × 3892) + (50 × 3892) + (6 × 3892) = 3892000 + 778400 + 194600 + 23352 = 4888352. 3 8 9 2 0 0 0 7 7 8 4 0 0 1 9 4 6 0 0 + 2 3 3 5 2 4 8 8 8 3 5 2
qa-0105,Arithmetical Ability,Number System,critical,detached_digit_array,What is 786 times 964?,A,786 × 964 = (800 – 14) × 964 = (800 × 964) – (14 × 964) = (771200 – 13496) = 757704. 7 7 1 2 0 0 – 1 3 4 9 6 7 5 7 7 0 4
qa-0109,Arithmetical Ability,Number System,critical,detached_digit_array,(46) 2 – (?) 2 = 4398 – 3066,B,"Let (46) 2 – x2 = 4398 – 3066 Then, (46)2 – x2 = 1332 | x2 = (46) 2 – 1332 | x2 = (50 – 4) 2 – 1332 = (50) 2 + 4 2 – 2 × 50 × 4 – 1332 | x2 = 2500 + 16 – 400 – 1332 = 2516 – 1732 = 784 | x = =784 28. 2 5 1 6 – 1 7 3 2 7 8 4 2 784 28 4 48 384 384 ×"
qa-0111,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,5358 × 51 =?,A,5358 × 51 = 5358 × (50 + 1) = 5358 × 50 + 5358 × 1 = × +5358 100 53582 = 535800 5358 267900 5358 273258.2 += +=
qa-0114,Arithmetical Ability,Number System,critical,detached_digit_array,72519 × 9999 =?,A,72519 × 9999 = 72519 × (10000 – 1) = (72519 × 10000) – (72519 × 1) = 725190000 – 72519 = 725117481. 7 2 5 1 9 0 0 0 0 – 7 2 5 1 9 7 2 5 1 1 7 4 8 1
qa-0124,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers,The value of 112 × 5 4 is,B,(112 × 5 4) = 112 × 4 112 1000010 70000.2 16 × ==
qa-0125,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers,Multiply 5746320819 by 125.,A,(5746320819 × 125) = ××5746320819 (125 8) 8 = 5746320819 1000 5746320819000 718290102375.88 × ==
qa-0126,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers; dense_number_sequence,935421 × 625 =?,B,935421 × 625 = ×× × =935421 625 16 935421 10000 16 16 = 9354210000 584638125.16 =
qa-0136,Arithmetical Ability,Number System,critical,repeated_operator_fragment,++ =×+× 22(963 476) (963 – 476) ?(963 963 476 476),A,"Given Expression = 22 22 ( ) (–) , () ab ab ab ++ + (where a = 963 and b = 476) = 22 22 2( ) 2. () + = + ab ab 137. Given Expression = + == + 33 22 () , (where 768 and 232) (– ) ab ab a ab b = (a + b) = (768 + 232) = 1000."
qa-0137,Arithmetical Ability,Number System,review,missing_solution_steps,××+×× =× ×+× 768 768 768 232 232 232 ?786 768 – 768 232 232 232,A,
qa-0138,Arithmetical Ability,Number System,critical,repeated_operator_fragment,×× ×× =×+×+× 854 854 854 – 276 276 276 ?854 854 854 276 276 276,B,"Given Expression = +×+ 33 22 (854) – (276) (854) (854 276) (276) = == ++ 33 22 (–) , where 854 and 276 () ab ab a ab b = (a – b) = (854 – 276) = 578."
qa-0139,Arithmetical Ability,Number System,critical,repeated_operator_fragment,×+× × =××+×× 753 753 247 247 – 753 247 ?753 753 753 247 247 247,A,"Given Expression = +× + 22 33 (753) (247) – (753 247) (753) (247) = + == + 22 33 ( –) , where 753 and 247 () a b ab ab ab = 1 11 .( ) (753 247) 1000ab ==++"
qa-0141,Arithmetical Ability,Number System,critical,repeated_operator_fragment,"If a = 11 and b = 9, then the value of ++ 22 33 is – a b ab ab (S.S.C., 2010)",A,++ ++ = == = ++ 22 22 33 22 () 1 11 .( – ) (11 – 9) 2( – ) ( – )( ) a b ab a b ab aba b a b a b ab
qa-0155,Arithmetical Ability,Number System,critical,detached_digit_array,"A 3–digit number 4 a3 is added to another 3–digit number 984 to give the four-digit number 13 b7, which is divisible by 11. Then,",A,"Since 13 b7 is divisible by 11, we have (7 + 3) – ( b + 1) = 0 | 9 – b = 0 | b = 9. Putting b = 9, a + 8 = 9 we get a = 1. Hence, ( a + b ) = (1 + 9) = 10. 4 a 3 9 8 4 1 3 b 7"
qa-0156,Arithmetical Ability,Number System,critical,repeated_operator_fragment; raw_backslash_separator,"If , the values of a and b are (I.A.M., 2007)",A,"Clearly, we have ab × b = 24 and ab × a = 12. \ 24 2 1, 2.12 1 ab b b abab a a × = | = | = =×"
qa-0159,Arithmetical Ability,Number System,critical,repeated_operator_fragment,"If 1 × 2 × 3 × ........ × n is denoted by n , then 8– 7– 6 is equal to",C,8– 7– 6 8 7 6–7 6– 6=×× × = (56 – 7 – 1) × 64 86 6 86= × =×× .
qa-0160,Arithmetical Ability,Number System,review,dense_number_sequence,The highest power of 9 dividing 99! completely is,D,"Highest power of 3 in 99! = 234 99 99 99 99 3 333 +++ = 99 99 99 99 3 9 27 81 +++ = 33 + 11 + 3 + 1 = 48. Since 9 = 32, so highest power of 9 dividing 99! = 48 24.2 ="
qa-0161,Arithmetical Ability,Number System,critical,detached_digit_array; raw_backslash_separator,"For an integer n, n ! = n(n – 1) ( n – 2)............ 3.2.1. (P.C.S., 2008) Then, 1! + 2! + 3! + ......... + 100! when divided by 5 leaves remainder",D,"Every number from 5 onwards is completely divisible by 5. \ ( 5 6 7 ........ 100)+++ + is completely divisible by 5. And, ( 1 2 3 4) (1 2 3 2 1 4 3 2 1) (1 2 6 24) 33.+ + + = + +××+××× = + ++ = Clearly, 33 when divided by 5 leaves a remainder 3. Hence, ( 1 2 3 4 5 ........ 100)+++++ + when divided by 5 leaves a remainder 3."
qa-0164,Arithmetical Ability,Number System,critical,repeated_operator_fragment,What number multiplied by 48 will give the same product as 173 multiplied by 240?,D,"Let x × 48 = 173 × 240. Then, x = 173 240 173 5 865.48 × = ×="
qa-0169,Arithmetical Ability,Number System,critical,detached_digit_array,"A young girl counted in the following way on the fingers of her left hand. She started calling the thumb 1, the index finger 2, middle finger 3, ring finger 4, little finger 5, then reversed direction, calling the ring finger 6, middle finger 7, index finger 8, thumb 9 and then back to the index figure for 10, middle finger for 11, and so on. She counted upto 1994. She ended on her",B,"Number on thumbs = 1, 9, 17, 25, ............. This is an AP in which a = 1 and d = (9 – 1) = 8. 6 x 4 3 – 4 6 y 9 1 9 0 4 3 | Tn = a + (n – 1)d = 1 + 8( n – 1) = (8 n – 7). 8n – 7 = 1994 | 8 n = 2001 | n = 250. T250 = 1 + (250 – 1) × 8 = 1 + 249 × 8 = 1993. So, 1993 lies on thumb and 1994 on index finger."
qa-0180,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,"The numbers 1, 2, 3, 4, .........., 1000 are multiplied together. The number of zeros at the end (on the right) of the product must be",D,"Let N = 1 × 2 × 3 × 4 ×.........× 1000 = 1000! Clearly, the highest power of 2 in N is very high as compared to that of 5. So, the number of zeros in N will be equal to the highest power of 5 in N. | Required number of zeros = 234 1000 1000 1000 1000 5 555 +++ = 200 + 40 + 8 + 1 = 249."
qa-0186,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,Let S be the set of prime numbers greater than or equal to 2 and less than 100. Multiply all the elements of S. With how many consecutive zeros will the product end?,A,"Clearly, the list of prime numbers from 2 to 99 has only 1 multiple of 2 and only 1 multiple of 5. So, number of zeros in the product = 1. 47619 7 333333 28 53 49 43 42 13 7 63 63 × 142857 7 999999 7 29 28 19 14 59 56 39 35 49 49 × 56 987 559981 4935 6648 5922 7261 2961 ×"
qa-0201,Arithmetical Ability,Number System,critical,concatenated_formula_numbers,"The last digit in the decimal representation of 20001 is5 (Hotel Management, 2009)",D,2000 20001 (0.2) .5 = Last digit of (0.2) 2000 = Last digit of (0.2) 4 = 6.
qa-0208,Arithmetical Ability,Number System,review,missing_solution_steps,The number 89715938* is divisible by 4. The unknown non-zero digit marked as * will be,C,
qa-0223,Arithmetical Ability,Number System,critical,concatenated_formula_numbers,6897 is divisible by,C,"Clearly, (7 + 8) – (9 + 6) = 0. So, 6897 is divisible by 11. Also, 6897 36319 = . So, 6897 is divisible by 19. Hence, 6897 is divisible by both 11 and 19."
qa-0226,Arithmetical Ability,Number System,critical,concatenated_formula_numbers,325325 is a six-digit number. It is divisible by,D,"(325 – 325) = 0, which is divisible by 7. So, the given number is divisible by 7. (5 + 3 + 2) – (2 + 5 + 3) = 0. So, the given number is divisible by 11. And, 325325 25025.13 = So, 325325 is divisible by 13. Hence, it is divisible by all 7, 11 and 13."
qa-0255,Arithmetical Ability,Number System,review,dense_number_sequence,"A 4–digit number is formed by repeating a 2–digit number such as 2525, 3232 etc. Any number of this form is exactly divisible by (S.S.C., 2005, 2010)",D,"Clearly, 2525 is not divisible by any of the numbers 7, 11 and 13. The smallest 3-digit prime number is 101. 25 101 2525 202 505 505 × 32 101 3232 303 202 202 × Hence (d) is true."
qa-0267,Arithmetical Ability,Number System,review,dense_number_sequence,"What least number must be added to 1056 to get a number exactly divisible by 23? (P.C.S., 2009)",A,"On dividing 1056 by 23, we get 21 as remainder. | Required number to be added = (23 – 21) = 2. 23 1056 45 92 136 115 21"
qa-0269,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,"Find the least 6-digit number which is exactly divisible by 349. (R.R.B., 2006)",A,The least 6-digit number = 100000. Required number = 100000 + (349 – 186) = 100000 + 163 = 100163. 349 100000 286 698 3020 2792 2280 2094 186
qa-0270,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,"Which is the greatest 5-digit number exactly divisible by 279? (R.R.B., 2006)",C,"The greatest 5-digit number = 99999. On dividing 99999 by 279, we get 117 as remainder. | Required number = (99999 – 117) = 99882. 279 99999 358 837 1629 1395 2349 2232 117"
qa-0271,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,"The least number, which must be added to the greatest 6-digit number so that the sum may be exactly divisible by 327 is",D,The greatest 6-digit number is 999999. Required number to be added = (327 – 33) = 294. 327 999999 3058 981 1899 1635 2649 2616 33
qa-0272,Arithmetical Ability,Number System,review,dense_number_sequence,The least number more than 5000 which is divisible by 73 is,B,"On dividing 5000 by 73, we get Required number = 5000 + (73 – 36) = 5037. 73 5000 68 438 620 584 36"
qa-0273,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,The nearest integer to 58701 which is exactly divisible by 567 is,C,"On dividing 58701 by 567, we get 300 as remainder. | Required number = 58701 + (567 – 300) = 58701 + 267 = 58968. 567 58701 103 567 2001 1701 300"
qa-0274,Arithmetical Ability,Number System,review,dense_number_sequence,The smallest number which must be subtracted from 8112 to make it exactly divisible by 99 is,C,"On dividing 8112 by 99, we get 93 as remainder. So, the required number to be subtracted is 93. 99 8112 81 792 192 99 93"
qa-0276,Arithmetical Ability,Number System,review,dense_number_sequence,The number of times 99 is subtracted from 1111 so that the remainder is less than 99 is,B,"On dividing 1111 by 99, the quotient is 11 and the remainder is 22. Hence, the required number is 11. 99 )1111 ( 11 99 121 99 22"
qa-0278,Arithmetical Ability,Number System,review,dense_number_sequence,The smallest 6-digit number exactly divisible by 111 is,C,"The smallest 6-digit number is 100000. On dividing 100000 by 111, we get 100 as remainder. So, the number to be added = (111 – 100) = 11. Hence, the required number = 100011. 111 100000 900 999 100"
qa-0279,Arithmetical Ability,Number System,critical,repeated_operator_fragment,The sum of all 2-digit numbers divisible by 5 is,A,"All 2-digit numbers divisible by 5 are 10, 15, 20, 25, ....., 95. This is an A.P. in which a = 10, d = 5 and Tn = 95. Tn = 95 | a + ( n – 1) d = 95 | 10 + ( n – 1) × 5 = 95 | ( n – 1) = 85 175 = | n = 18. | Sum = 18( ) (10 95) (9 105) 945.22 += + =× =n al"
qa-0290,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,"If 11,109,999 is divided by 1111, then what is the remainder? (M.A.T., 2007)",C,"On dividing 11109999 by 1111, we get: So, the required remainder is 1110. 1111 11109999 9999 9999 11109 9999 11109 9999 11109 9999 1110"
qa-0291,Arithmetical Ability,Number System,review,dense_number_sequence,"A number divided by 68 gives the quotient 260 and remainder zero. If the same number is divided by 65, the remainder is",A,"Number = (68 × 260) = 17680. On dividing this number by 65, we get zero as remainder. 65 17680 272 130 468 455 130 130 ×"
qa-0294,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,The number 534677 is divided by 777. The difference of divisor and remainder is,B,On dividing 534677 by 777 we get 101 as remainder. | (Divisor) – (Remainder) = (777 – 101) = 676. 777 534677 688 4662 6847 6216 6317 6216 101
qa-0295,Arithmetical Ability,Number System,critical,repeated_operator_fragment,"In a division sum, the quotient, dividend and remainder are 15, 940 and 25 respectively. The divisor is",D,(Dividend) – (Remainder) Divisor.Quotient = | Divisor = (940 – 25) 15 61.15 15 9==
qa-0317,Arithmetical Ability,Number System,critical,detached_digit_array,"When the quotient is divided by 2, it leaves a remainder 1. What will be the remainder when the number is divided by 6?",C,TL L T-Th Th H T O 3 2 5 4 7 1 0 Place value of 5 = (5 × 10000) = 50000.
qa-0343,Arithmetical Ability,Number System,critical,concatenated_formula_numbers; dense_number_sequence,Find the last two digits of N.,B,"Taking out [ ]10 common from 10 11 ........ 100++ + , we get this expression in the form of a multiple of 10 which has zeros as its last two digits. So, the last two digits of the expression [ ]10 11 ........... 100++ + are zeros. Thus, the last two digits of N must be the last two digits of the sum ( 1 2 .......... 9)++ + . Now, 1 2 .......... 9 1 2 6 24 120 720 5040 40320 362880+ + + =+ ++ + + + + + It has clearly 13 as the last two digits. So, the last two digits of N are 13."
qa-0344,Arithmetical Ability,Number System,critical,repeated_operator_fragment,Find the remainder when N is divided by 168.,A,"168 = 23 × 3 × 7 and 2477654321753 2 1 6 83 0=××××××=×× × = × Hence, 7 and all the factorials greater than 7 are divisible by 168. Now, N = 1 2 3 ........... 99 100++ + + + = 1 23 4 5 6a++ ++++ multiple of 168. So, the remainder obtained on dividing N by 168 is the same as that obtained on dividing ( 1 23456 )+ ++++ by 168. Now, 123456+++++ = 1 + 2 + 6 + 24 + 120 + 720 = 873 = (168 × 5) + 33. Hence, the required remainder is 33."
qa-0348,Arithmetical Ability,Number System,critical,repeated_operator_fragment; detached_digit_array; concatenated_formula_numbers,Find the product of all odd natural numbers less than 5000.,B,Product of all odd natural numbers less than 5000 = 1 × 3 × 5 × 7 × ........... × 4999 = 1 2 3 4 5 6 ............. 5000 2 4 6 8 ............ 5000 ×××××× × ×××× × = 2500 2500 5000 ! 5000 ! . 2 (1 2 3 4 ........... 2500) 2 . 2500 ! = ×××× ×
qa-0351,Arithmetical Ability,Number System,review,raw_backslash_separator,Find the unit's digit in the sum of the fifth powers of the first 100 natural numbers.,A,"Let N = 1 5 + 2 5 + 3 5 + ...........+ (100) 5. Then, N = (1 5 + 2 5 + 3 5 +.......+ 10 5) + (11 5 + 12 5 +...........+ 205) + (21 5 + 22 5 +..........+ 30 5) +......+ (91 5 + 92 5 + ...........+ 1005) = N1 + N2 + N3 +........+ N10. Since each one of N1, N2, N3, .........., N10 has the same unit's digit of its terms, so unit's digit of each one of N1, N2,......, N10 is also the same. \ Unit's digit in N = 10 × Unit's digit of N1 = 0."
qa-0352,Arithmetical Ability,Number System,critical,detached_digit_array,"If the symbol [ x] denotes the greatest integer less than or equal to x, then the value of ++ ++ + ++ 1 1 1 1 2 1 49......... is4 4 50 4 50 4 50",C,"Clearly, each of the 38 terms 1 1 1 1 2 1 37, , ,...........,4 4 50 4 50 4 50 ++ + has a value lying between 0 and 1, while each one of the 12 terms 1 38 1 39 1 49, ,............,4 50 4 50 4 50 ++ + has a value lying between 1 and 2. Hence, the given expression = (0 × 38) + (1 × 12) = 12."
qa-0353,Arithmetical Ability,Number System,review,raw_backslash_separator,"When 10025 – 25 is written in decimal notation, the sum of its digits is",A,100 25 – 25 = (10 2)25 – 25 = 10 50 – 25 = 50 zeros 48 times 1000 ..... 00 – 25 9999 ......... 9975= \ Sum of digits = (48 × 9) + 7 + 5 = 432 + 7 + 5 = 444.
qa-0357,Arithmetical Ability,Number System,critical,repeated_operator_fragment,If x = a,D,"Given x = a ( b – c), y = b ( c – a); z = ( a – b) x = a ( b – c) | x a = b – c ... ( i) Similarly, y = b ( c – a) | y b = c – a (ii) and similarly ( ) zz ca b c a c= − =− (iii) Adding (i), (ii) and (iii) we get 0yxz bccaababc+ + =−+−+−= | 0yxz abc++= 333 yxz abc ++ 33 y xyzxz a b c abc= ×××= [If a + b + c = 0, a3 + b3 + c3 = 3 abc]"
qa-0359,Arithmetical Ability,Number System,critical,repeated_operator_fragment; raw_backslash_separator,"If a + b + c = 6 and ab + bc + ca = 10 then the value of a3 + b3 + c3 – 3 abc is [SSC—CHSL (10 + 2) Exam, 2015]",A,Given a + b + c = 6 ab + bc + ca = 10 \ ( a + b + c)2 = 36 | a2 + b2 + c2 + 2 ab + 2 bc + 2 ca = 36 | a2 + b2 + c2 + 2 ( ab + bc + ca) = 36 | a2 + b2 + c2 + 2 × 10 = 36 | a2 + b2 + c2 = 16 As we know ( ) 333 222 3a b c abc abc a b c ab bc ca ++− = ++ + +−−− ( ) 333 3 616 a b c abc ab bc ca ++− =− ++ | 333 3 616 10 a b c abc++− =− | 333 3 66a b c abc+ + − =× | 333 3 36a b c abc++− =
qa-0360,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers; raw_backslash_separator,"If (1001 × 111) = 110000 + (11 × ___), then the number in the blank space is",C,Let the blank space is x \ 1001 × 111 = 110000 + 11 x Now find the value of x (1000 + 1) × 111 = 110000 + 11 x 111000 + 111 = 110000 + 11 x 111111 = 110000 + 11 x 11 x = 111111 – 110000 11 x = 1111 1111 10111x ==
qa-0361,Arithmetical Ability,Number System,critical,repeated_operator_fragment; concatenated_formula_numbers; raw_backslash_separator,"If (the place value of 5 in 15201) + (the place value of 6 in 2659) = 7 × ____, then the number of the blank space is:",A,The place value of 5 in 15201 = 5000 Place value of 6 in 2659 = 600 \ we have 5000 + 600 = 7 x 7 x = 5600 5600 8007x ==
qa-0362,Arithmetical Ability,Number System,review,raw_backslash_separator,"The sum of digits of a two – digit number is 12 and the difference between the two – digits of the two – digit number is 6. What is the two – digit number? [IBPS—RRB Office Assistant (Online) Exam, 2015]",D,"Let the two – digit number be 10 a + b where a > b According to the question, a + b = 12 ....(i) a – b = 6.....(ii) On adding equation (i) and (ii). 2 a = 19 | a = 9 From equation (i), 9 + b = 12 | b = 12 – 9 = 3 \ Number is 10 a + b = 9 × 10 + 3 = 93 \ When a < b. Then required number is = 39"
qa-0363,Arithmetical Ability,Number System,critical,empty_layout_braces,"The difference between the greatest and the least four digit numbers that beings with 3 and ends with 5 is [SSC—CHSL (10 + 2) Exam, 2015]",D,Greatest four digit number that begins with 3 and ends with 5 = 3995 Least four digit number that begins with 3 and ends with 5 = 3005 | ( )( ) ( ) ( ){ } 222p q p q pq p q p q xpq− +− =− − − ( )( ){ } 33 2 2a b a b a ab b− =− −+ by cancelling same terms of both sides | 22 22 2p q pq p q pq xpq+−=+− − ( ){ } 2 22 2a b a b ab− =+− | pq = – xpq | x = – 1
qa-0364,Arithmetical Ability,Number System,review,missing_solution_steps,"The sum of the perfect squares between 120 and 300 is [SSC—CHSL (10 + 2) Exam, 2015]",D,
